ID,TREAT,TREAT_LABEL,POSITION,TENURE,FAMILIARITY,INDUSTRY,EMP_SIZE,REVENUE,EXPORT_PCT,OWNERSHIP,SUPPLY_POS,ESG_REP,ISO14001,ENV_INSP,ENV_PEN,EPR_REP,AWR1,AWR2,AWR3,AWR4,AWR5,AWR_MEAN,EO1,EO2,EO3,EO4,EO5,EO_MEAN,CC1,CC2,CC3,CC4,CC5,CC_MEAN,RC1,RC2,RC3,RC4,RC5,RC_MEAN,RP1,RP2,RP3,RP4,RP_MEAN,REP1,REP2,REP3,REP4,REP_MEAN,MP1,MP2,MP3,MP4,MP_MEAN,MC1,MC2,MC3,BAE_MKT,BAE_PROD,BAE_OPS,BAE_TRAIN,BAE_EPR,CI1,CI2,CI3,CI4,CI5,CI_MEAN,PP1,PP2,PP3,PP4,PP_MEAN,T_REGULATORY,T_REPUTATIONAL,T_MARKET,CI_ZSCORED
11,3,Market,4,6,6,2,3,2,4,1,1,0,0,1,0,0,3,4,2,4,4,3.4,4,6,6,5,6,5.4,2,3,3,2,3,2.6,5,5,5,4,5,4.8,3,4,5,4,4.0,3,3,3,3,3.0,6,6,5,6,5.75,3,4,4,19.0,30.0,17.0,7.0,27.0,4,3,5,4,4,4.0,6,5,5,5,5.25,0,0,1,-0.6892
12,2,Reputational,4,5,5,3,2,3,17,1,5,0,0,0,0,1,4,5,4,5,4,4.4,3,3,3,3,2,2.8,4,5,4,5,5,4.6,5,5,6,5,5,5.2,4,4,3,5,4.0,5,5,5,4,4.75,5,6,6,5,5.5,6,7,4,26.0,23.0,25.0,9.0,17.0,5,6,5,6,4,5.2,4,4,4,4,4.0,0,1,0,0.5211
13,0,Control,3,4,6,3,5,3,14,1,2,1,0,1,0,0,5,5,5,5,4,4.8,4,4,4,4,5,4.2,3,3,3,3,3,3.0,5,5,4,4,5,4.6,4,3,3,3,3.25,5,5,5,6,5.25,6,4,4,4,4.5,5,5,3,22.0,31.0,27.0,6.0,14.0,4,4,4,4,5,4.2,5,6,6,4,5.25,0,0,0,-0.4875
14,3,Market,5,3,5,1,6,2,55,2,2,1,1,1,0,1,4,4,3,3,4,3.6,4,4,4,4,5,4.2,2,2,2,2,2,2.0,5,4,6,4,5,4.8,5,5,6,5,5.25,3,3,3,3,3.0,5,4,4,5,4.5,4,4,5,25.0,19.0,24.0,16.0,16.0,6,6,5,4,5,5.2,2,2,3,2,2.25,0,0,1,0.5211
15,1,Regulatory,2,3,6,3,5,4,19,1,4,0,0,1,0,1,6,6,5,6,5,5.6,3,3,4,3,3,3.2,5,3,3,4,3,3.6,6,4,5,5,6,5.2,6,5,6,5,5.5,3,3,3,3,3.0,3,2,2,3,2.5,6,3,5,29.0,21.0,24.0,11.0,15.0,5,5,5,5,4,4.8,4,4,3,3,3.5,1,0,0,0.1177
16,2,Reputational,5,3,6,3,4,2,49,1,3,0,1,1,0,0,7,7,7,7,7,7.0,6,6,6,5,5,5.6,2,2,2,3,3,2.4,6,5,5,5,6,5.4,4,4,5,4,4.25,3,4,4,4,3.75,5,4,5,5,4.75,4,5,5,27.0,20.0,25.0,7.0,21.0,5,5,5,5,5,5.0,6,7,6,7,6.5,0,1,0,0.3194
17,0,Control,3,4,4,6,5,3,15,5,4,1,1,0,0,0,5,5,5,4,5,4.8,3,4,3,2,3,3.0,5,5,6,6,5,5.4,5,4,4,5,5,4.6,4,5,5,5,4.75,5,5,6,5,5.25,4,3,4,3,3.5,4,5,3,39.0,20.0,28.0,7.0,6.0,6,5,6,5,4,5.2,4,4,3,4,3.75,0,0,0,0.5211
18,1,Regulatory,5,10,4,2,5,3,34,2,3,0,1,1,1,1,4,5,5,5,5,4.8,2,3,4,3,2,2.8,4,3,4,4,4,3.8,3,3,4,3,3,3.2,5,5,5,6,5.25,3,1,2,3,2.25,5,5,4,5,4.75,6,4,3,24.0,20.0,24.0,6.0,26.0,6,6,6,6,5,5.8,5,5,5,5,5.0,1,0,0,1.1263
19,2,Reputational,3,4,4,6,3,3,40,1,4,0,0,0,0,1,5,5,5,5,5,5.0,2,4,2,3,3,2.8,3,3,2,3,3,2.8,4,4,4,4,4,4.0,5,4,5,5,4.75,4,3,3,4,3.5,3,3,3,4,3.25,3,6,4,22.0,24.0,28.0,6.0,20.0,7,7,7,7,6,6.8,4,5,4,5,4.5,0,1,0,2.1349
20,0,Control,5,5,5,1,3,4,34,5,6,0,0,0,0,1,5,5,6,5,4,5.0,5,3,3,4,4,3.8,4,4,3,4,3,3.6,3,3,3,3,3,3.0,6,4,4,4,4.5,5,4,4,4,4.25,2,3,4,3,3.0,4,4,5,30.0,23.0,21.0,9.0,17.0,2,3,4,2,2,2.6,1,2,3,2,2.0,0,0,0,-2.1013
21,3,Market,5,3,5,6,2,3,10,1,5,0,1,1,0,1,5,4,4,4,4,4.2,2,3,2,3,2,2.4,5,4,5,5,4,4.6,3,3,2,3,3,2.8,5,7,5,6,5.75,5,6,5,6,5.5,5,5,4,5,4.75,4,4,5,28.0,20.0,23.0,9.0,20.0,4,5,6,5,5,5.0,4,3,4,4,3.75,0,0,1,0.3194
22,2,Reputational,4,4,2,6,2,3,10,1,2,0,0,1,0,0,1,2,3,2,1,1.8,4,4,3,3,3,3.4,3,3,4,3,3,3.2,3,4,4,4,4,3.8,5,4,5,4,4.5,3,3,3,3,3.0,3,4,3,4,3.5,5,6,3,20.0,20.0,26.0,9.0,25.0,4,4,5,4,4,4.2,6,6,6,6,6.0,0,1,0,-0.4875
23,2,Reputational,4,16,4,3,3,2,27,4,2,0,1,0,0,1,6,6,6,5,5,5.6,3,1,1,1,2,1.6,3,3,3,2,4,3.0,5,4,4,5,5,4.6,6,5,5,5,5.25,5,4,5,5,4.75,4,4,4,5,4.25,5,6,4,26.0,26.0,19.0,9.0,20.0,3,3,2,3,3,2.8,5,5,5,4,4.75,0,1,0,-1.8996
24,0,Control,1,4,4,6,4,2,15,4,2,0,0,1,0,1,5,4,4,5,5,4.6,6,3,5,4,3,4.2,5,4,4,4,3,4.0,4,4,3,3,3,3.4,3,3,3,2,2.75,6,5,4,5,5.0,4,3,3,2,3.0,4,3,4,27.0,18.0,42.0,5.0,8.0,5,4,5,4,3,4.2,5,5,5,4,4.75,0,0,0,-0.4875
25,0,Control,4,6,6,6,2,4,19,1,3,0,0,0,1,1,5,4,5,4,4,4.4,4,4,3,5,4,4.0,4,4,4,4,4,4.0,4,4,4,4,4,4.0,4,5,4,5,4.5,4,3,3,4,3.5,3,3,3,3,3.0,5,3,3,21.0,27.0,24.0,10.0,18.0,4,5,5,5,5,4.8,4,3,4,3,3.5,0,0,0,0.1177
26,0,Control,4,7,3,1,4,4,17,1,1,1,0,0,0,1,6,6,5,6,6,5.8,4,3,4,4,4,3.8,4,5,4,4,4,4.2,6,5,6,5,5,5.4,2,3,3,3,2.75,5,6,5,5,5.25,4,3,3,3,3.25,4,3,4,27.0,27.0,24.0,10.0,12.0,5,5,5,5,5,5.0,4,5,5,4,4.5,0,0,0,0.3194
27,3,Market,4,3,2,5,3,3,43,6,1,0,0,1,0,1,4,5,4,5,3,4.2,5,4,4,5,4,4.4,2,2,2,2,2,2.0,6,6,6,6,5,5.8,6,6,7,7,6.5,4,4,4,4,4.0,3,4,3,3,3.25,4,5,5,28.0,27.0,18.0,7.0,20.0,4,5,4,4,5,4.4,4,6,4,5,4.75,0,0,1,-0.2858
28,1,Regulatory,3,6,6,5,4,4,14,1,2,0,1,0,0,1,4,5,5,4,5,4.6,5,5,5,5,5,5.0,3,2,3,4,3,3.0,4,4,4,5,4,4.2,5,4,4,4,4.25,5,5,4,5,4.75,6,6,7,6,6.25,6,5,3,26.0,13.0,27.0,12.0,22.0,6,5,6,5,6,5.6,6,6,4,4,5.0,1,0,0,0.9246
29,0,Control,3,5,5,3,4,2,28,1,4,1,0,0,0,0,6,5,6,6,6,5.8,4,5,4,6,5,4.8,2,2,3,3,3,2.6,4,5,5,5,5,4.8,4,5,4,5,4.5,6,4,6,5,5.25,5,4,5,5,4.75,5,5,3,29.0,17.0,29.0,14.0,11.0,3,3,2,3,2,2.6,3,2,3,2,2.5,0,0,0,-2.1013
30,1,Regulatory,3,4,6,5,4,4,4,1,3,0,1,0,0,1,5,5,5,5,4,4.8,3,3,3,4,4,3.4,3,3,2,3,2,2.6,4,4,4,3,4,3.8,5,4,5,4,4.5,2,2,2,3,2.25,5,4,5,5,4.75,4,3,3,28.0,23.0,24.0,9.0,16.0,6,6,7,6,6,6.2,4,4,3,4,3.75,1,0,0,1.5298
31,2,Reputational,4,1,5,1,4,2,40,1,1,0,1,0,0,0,4,3,4,4,3,3.6,2,2,3,2,2,2.2,4,3,3,3,3,3.2,4,4,5,5,4,4.4,3,3,4,5,3.75,5,6,5,4,5.0,4,4,3,4,3.75,6,5,5,22.0,23.0,17.0,7.0,31.0,4,4,4,4,4,4.0,4,5,6,5,5.0,0,1,0,-0.6892
32,0,Control,6,17,4,1,3,3,30,1,3,0,0,1,0,0,3,3,4,3,4,3.4,3,4,2,4,3,3.2,3,2,2,3,3,2.6,6,5,4,5,6,5.2,6,5,5,5,5.25,2,2,3,3,2.5,6,6,6,6,6.0,4,5,2,18.0,26.0,32.0,17.0,7.0,4,4,4,5,4,4.2,4,4,5,6,4.75,0,0,0,-0.4875
33,2,Reputational,1,3,4,5,4,2,32,1,2,1,0,1,0,1,5,4,5,5,5,4.8,3,2,3,3,2,2.6,3,3,5,4,4,3.8,4,4,4,4,4,4.0,6,6,6,7,6.25,4,4,4,4,4.0,3,3,4,4,3.5,5,4,5,24.0,24.0,24.0,11.0,17.0,5,4,5,5,6,5.0,5,5,3,4,4.25,0,1,0,0.3194
34,1,Regulatory,3,4,4,7,1,4,36,4,2,1,1,0,0,0,4,4,4,4,5,4.2,3,3,2,2,3,2.6,5,5,4,4,4,4.4,3,4,3,2,3,3.0,6,6,5,6,5.75,3,4,4,3,3.5,4,4,3,3,3.5,7,4,2,19.0,21.0,39.0,5.0,16.0,5,4,3,5,4,4.2,7,6,5,5,5.75,1,0,0,-0.4875
35,1,Regulatory,5,3,5,1,5,5,13,1,2,0,1,1,0,1,3,3,4,3,3,3.2,4,4,5,4,3,4.0,5,6,5,6,6,5.6,6,7,6,6,7,6.4,5,4,5,4,4.5,3,2,2,3,2.5,3,4,3,4,3.5,6,2,6,26.0,19.0,26.0,8.0,21.0,5,5,5,4,5,4.8,7,7,5,6,6.25,1,0,0,0.1177
36,0,Control,3,8,4,5,4,3,50,2,3,0,0,1,0,1,4,4,5,5,5,4.6,5,4,4,5,4,4.4,4,5,4,4,4,4.2,4,3,4,5,4,4.0,5,6,5,5,5.25,2,1,2,3,2.0,4,4,3,5,4.0,4,4,4,41.0,16.0,26.0,6.0,11.0,4,5,5,4,3,4.2,5,4,5,5,4.75,0,0,0,-0.4875
37,3,Market,6,4,5,3,4,3,9,1,1,0,1,0,0,1,3,3,2,3,2,2.6,4,2,2,3,2,2.6,4,4,3,4,4,3.8,4,5,5,4,4,4.4,5,6,7,5,5.75,4,3,4,5,4.0,4,5,4,4,4.25,5,4,5,25.0,20.0,33.0,4.0,18.0,5,4,4,4,4,4.2,4,5,5,4,4.5,0,0,1,-0.4875
38,1,Regulatory,1,6,4,2,2,3,26,4,3,0,0,0,0,1,5,5,5,5,6,5.2,3,2,3,3,3,2.8,2,3,3,3,3,2.8,2,4,3,3,4,3.2,5,5,5,5,5.0,5,5,5,3,4.5,5,4,4,5,4.5,5,4,5,28.0,17.0,23.0,11.0,21.0,5,6,6,5,6,5.6,3,4,3,4,3.5,1,0,0,0.9246
39,0,Control,1,4,7,6,5,3,48,1,2,0,0,1,0,1,4,4,4,4,4,4.0,5,5,4,5,5,4.8,2,2,2,3,3,2.4,3,4,3,3,3,3.2,6,6,6,6,6.0,6,6,5,5,5.5,4,5,4,4,4.25,5,4,3,37.0,21.0,29.0,6.0,7.0,5,5,4,5,5,4.8,4,5,5,5,4.75,0,0,0,0.1177
40,1,Regulatory,6,6,5,1,2,3,44,1,3,0,1,1,0,0,6,4,6,5,5,5.2,3,3,3,3,3,3.0,6,5,6,5,5,5.4,6,6,6,5,6,5.8,4,4,4,4,4.0,5,4,4,4,4.25,4,4,4,4,4.0,7,5,4,23.0,29.0,22.0,8.0,18.0,5,5,5,5,4,4.8,7,7,6,7,6.75,1,0,0,0.1177
41,1,Regulatory,6,13,5,1,4,2,26,4,1,0,0,0,0,1,3,3,3,3,2,2.8,3,2,2,4,2,2.6,4,4,3,3,5,3.8,6,7,5,6,5,5.8,6,5,6,6,5.75,4,3,2,4,3.25,3,3,3,3,3.0,6,4,5,27.0,24.0,23.0,4.0,22.0,4,5,4,5,4,4.4,4,4,4,4,4.0,1,0,0,-0.2858
42,0,Control,4,3,6,3,4,1,72,1,3,0,0,1,0,1,6,6,6,6,6,6.0,4,4,4,5,4,4.2,5,5,5,5,4,4.8,6,5,5,5,5,5.2,5,4,4,5,4.5,6,5,5,5,5.25,4,4,4,4,4.0,5,4,5,22.0,27.0,24.0,10.0,17.0,4,3,3,4,4,3.6,4,3,4,4,3.75,0,0,0,-1.0927
43,2,Reputational,1,9,5,1,3,3,7,4,2,0,0,0,0,0,4,3,4,3,4,3.6,7,6,7,6,5,6.2,4,3,3,3,3,3.2,6,5,5,6,6,5.6,4,4,4,4,4.0,4,4,4,4,4.0,4,5,4,4,4.25,5,6,3,22.0,25.0,27.0,10.0,16.0,3,3,4,4,3,3.4,4,6,5,5,5.0,0,1,0,-1.2944
44,2,Reputational,4,5,7,5,2,2,36,1,2,1,0,1,1,1,4,4,4,4,4,4.0,3,4,3,2,3,3.0,4,3,3,1,4,3.0,5,6,4,4,5,4.8,6,6,6,6,6.0,3,3,4,4,3.5,5,5,4,6,5.0,6,5,4,22.0,30.0,17.0,7.0,24.0,3,4,3,3,4,3.4,4,6,4,5,4.75,0,1,0,-1.2944
45,2,Reputational,5,4,3,2,5,5,24,4,1,0,0,1,0,1,6,5,5,5,4,5.0,3,3,6,4,3,3.8,3,4,4,4,3,3.6,5,5,4,5,5,4.8,5,5,4,4,4.5,6,5,5,5,5.25,5,5,5,5,5.0,5,5,4,16.0,17.0,29.0,15.0,23.0,6,5,5,6,5,5.4,4,4,4,5,4.25,0,1,0,0.7229
46,3,Market,2,10,4,3,2,3,51,1,1,0,1,1,0,1,3,3,3,4,3,3.2,3,3,4,3,3,3.2,1,1,1,2,1,1.2,5,5,4,4,5,4.6,5,5,4,4,4.5,5,4,4,5,4.5,4,3,4,4,3.75,5,5,5,26.0,20.0,29.0,5.0,20.0,4,3,3,5,4,3.8,5,5,6,5,5.25,0,0,1,-0.891
47,0,Control,3,14,5,6,4,3,82,2,4,0,1,0,1,0,3,4,4,4,4,3.8,5,6,5,5,5,5.2,5,5,4,6,4,4.8,5,5,6,5,5,5.2,3,3,2,2,2.5,4,5,3,4,4.0,4,5,4,4,4.25,5,4,3,28.0,25.0,31.0,6.0,10.0,3,3,4,3,4,3.4,5,5,6,6,5.5,0,0,0,-1.2944
48,2,Reputational,3,5,6,6,5,3,8,3,3,1,0,1,0,0,5,4,3,4,4,4.0,2,3,2,2,3,2.4,4,5,5,4,4,4.4,6,6,5,5,5,5.4,7,6,7,7,6.75,5,4,4,5,4.5,4,4,4,3,3.75,4,6,5,17.0,23.0,22.0,9.0,29.0,4,4,5,4,5,4.4,5,6,4,5,5.0,0,1,0,-0.2858
49,0,Control,5,3,7,2,2,2,24,1,2,0,1,0,0,0,4,4,4,5,4,4.2,3,3,3,3,3,3.0,5,4,3,3,5,4.0,5,4,4,4,5,4.4,4,5,5,4,4.5,3,3,4,2,3.0,4,4,3,4,3.75,3,4,4,21.0,33.0,25.0,8.0,13.0,5,5,5,5,5,5.0,3,5,3,3,3.5,0,0,0,0.3194
50,3,Market,3,4,5,5,4,3,15,4,3,0,0,1,0,0,4,5,4,5,5,4.6,4,5,5,6,4,4.8,5,4,4,5,4,4.4,4,4,4,6,4,4.4,5,4,5,5,4.75,4,4,4,4,4.0,3,2,3,2,2.5,5,4,5,21.0,25.0,24.0,5.0,25.0,5,4,5,4,5,4.6,4,4,5,4,4.25,0,0,1,-0.0841
51,0,Control,5,11,4,2,3,3,33,1,1,0,0,0,0,0,2,3,3,3,3,2.8,4,4,3,4,4,3.8,5,4,6,4,3,4.4,4,4,4,5,5,4.4,5,5,5,5,5.0,7,6,5,5,5.75,4,4,3,4,3.75,4,4,4,27.0,27.0,27.0,11.0,8.0,4,4,5,5,5,4.6,2,3,2,3,2.5,0,0,0,-0.0841
52,3,Market,6,2,5,6,2,3,9,1,1,1,0,1,0,1,3,3,4,4,4,3.6,4,3,3,4,4,3.6,5,5,5,5,5,5.0,3,4,3,2,3,3.0,7,6,7,7,6.75,4,6,4,5,4.75,3,3,3,3,3.0,5,6,7,27.0,19.0,24.0,10.0,20.0,7,6,6,6,7,6.4,4,4,4,5,4.25,0,0,1,1.7315
53,1,Regulatory,4,12,5,3,2,2,31,4,3,0,0,0,0,0,6,4,5,5,5,5.0,5,6,5,5,6,5.4,3,4,2,2,3,2.8,6,6,6,7,5,6.0,6,5,6,5,5.5,3,3,3,2,2.75,2,2,2,2,2.0,5,4,4,23.0,21.0,17.0,14.0,25.0,6,6,7,6,5,6.0,4,4,3,4,3.75,1,0,0,1.328
54,0,Control,1,5,3,5,3,2,16,1,1,0,1,0,1,1,5,4,5,5,5,4.8,3,4,3,3,4,3.4,3,4,4,3,4,3.6,4,4,5,5,4,4.4,4,4,4,3,3.75,3,3,2,3,2.75,6,6,6,5,5.75,3,4,5,30.0,22.0,26.0,11.0,11.0,5,4,4,5,5,4.6,4,4,4,5,4.25,0,0,0,-0.0841
55,2,Reputational,3,4,6,1,4,3,27,1,1,0,0,0,0,0,5,5,4,5,5,4.8,5,5,5,6,4,5.0,4,4,3,5,6,4.4,5,5,4,4,4,4.4,5,5,5,5,5.0,5,5,5,5,5.0,1,2,2,3,2.0,5,4,5,27.0,19.0,25.0,7.0,22.0,7,7,7,7,7,7.0,5,5,4,5,4.75,0,1,0,2.3367
56,3,Market,5,6,4,2,4,4,53,4,2,0,0,0,0,0,5,5,6,4,5,5.0,5,5,4,5,6,5.0,3,3,3,4,3,3.2,4,5,4,5,4,4.4,7,7,7,7,7.0,2,3,3,3,2.75,5,4,4,5,4.5,5,3,5,17.0,26.0,25.0,9.0,23.0,4,4,3,4,4,3.8,4,4,5,4,4.25,0,0,1,-0.891
57,0,Control,4,7,5,1,2,3,33,1,2,0,0,1,0,1,5,5,6,5,6,5.4,5,6,5,5,6,5.4,4,3,3,3,3,3.2,4,4,4,4,3,3.8,4,4,4,4,4.0,4,4,4,4,4.0,4,4,3,3,3.5,4,4,5,27.0,28.0,21.0,15.0,9.0,3,3,3,4,3,3.2,4,4,4,3,3.75,0,0,0,-1.4961
58,3,Market,3,6,4,7,2,2,18,1,2,1,0,0,0,1,5,5,4,5,6,5.0,4,4,4,5,3,4.0,2,2,2,2,3,2.2,5,6,6,6,5,5.6,4,4,4,4,4.0,3,3,3,3,3.0,4,4,4,3,3.75,6,2,5,22.0,22.0,23.0,11.0,22.0,7,6,6,6,6,6.2,5,5,5,5,5.0,0,0,1,1.5298
59,3,Market,5,8,5,5,4,3,37,1,1,0,0,1,0,1,4,4,3,4,3,3.6,5,4,4,4,4,4.2,1,1,1,1,1,1.0,4,5,4,5,4,4.4,4,4,4,4,4.0,6,6,5,5,5.5,4,4,4,4,4.0,5,4,6,23.0,21.0,23.0,8.0,25.0,4,3,4,4,3,3.6,7,6,7,7,6.75,0,0,1,-1.0927
60,3,Market,5,8,5,2,4,4,30,4,3,0,0,1,0,1,4,3,4,4,4,3.8,5,5,5,5,5,5.0,3,2,3,3,3,2.8,6,6,7,6,6,6.2,4,4,4,4,4.0,6,6,6,7,6.25,5,6,4,5,5.0,5,4,5,20.0,19.0,36.0,7.0,18.0,5,5,5,5,4,4.8,5,4,6,4,4.75,0,0,1,0.1177
61,2,Reputational,2,9,3,1,4,3,36,4,3,1,0,0,0,1,5,6,5,6,5,5.4,4,5,5,4,4,4.4,4,6,6,5,6,5.4,5,5,4,4,5,4.6,6,6,5,5,5.5,3,3,3,3,3.0,5,4,4,4,4.25,5,4,4,28.0,17.0,29.0,10.0,16.0,5,5,5,4,4,4.6,5,4,5,5,4.75,0,1,0,-0.0841
62,1,Regulatory,5,10,5,6,3,2,10,6,3,0,0,0,0,0,4,4,3,3,4,3.6,2,2,3,2,3,2.4,3,2,4,4,3,3.2,4,3,3,4,4,3.6,5,5,5,4,4.75,4,3,4,4,3.75,4,5,5,4,4.5,6,3,4,22.0,21.0,21.0,14.0,22.0,3,4,3,4,4,3.6,5,5,6,6,5.5,1,0,0,-1.0927
63,2,Reputational,3,8,5,2,2,2,46,4,3,0,0,0,0,0,6,6,5,6,6,5.8,5,5,4,5,5,4.8,4,4,4,4,4,4.0,6,6,5,5,7,5.8,3,4,4,4,3.75,3,2,3,2,2.5,6,5,5,5,5.25,6,6,3,28.0,18.0,24.0,12.0,18.0,5,5,6,5,6,5.4,5,6,5,5,5.25,0,1,0,0.7229
64,1,Regulatory,5,9,5,2,2,5,35,1,4,1,1,1,0,0,4,4,4,4,4,4.0,4,3,2,2,2,2.6,3,3,3,4,3,3.2,4,5,4,4,4,4.2,5,6,6,5,5.5,5,4,4,4,4.25,5,5,5,6,5.25,5,6,2,26.0,21.0,23.0,7.0,23.0,5,5,5,4,4,4.6,5,5,6,7,5.75,1,0,0,-0.0841
65,3,Market,4,7,6,6,2,3,32,1,5,0,1,0,0,1,6,5,6,6,6,5.8,5,6,5,5,6,5.4,1,2,1,1,1,1.2,4,3,3,3,3,3.2,4,4,4,4,4.0,5,4,4,6,4.75,3,3,2,4,3.0,6,4,5,29.0,19.0,28.0,9.0,15.0,5,5,5,6,5,5.2,5,4,4,4,4.25,0,0,1,0.5211
66,0,Control,3,8,3,4,1,5,27,1,4,1,0,0,0,0,6,5,5,5,5,5.2,4,5,4,5,4,4.4,5,6,5,5,5,5.2,4,4,5,5,5,4.6,7,6,7,6,6.5,4,4,5,4,4.25,4,4,5,4,4.25,5,5,5,27.0,29.0,29.0,5.0,10.0,3,3,3,3,4,3.2,4,3,4,4,3.75,0,0,0,-1.4961
67,2,Reputational,3,3,5,3,4,4,18,2,4,0,0,1,0,1,7,6,5,6,5,5.8,6,6,7,5,5,5.8,2,1,1,2,2,1.6,4,3,4,4,4,3.8,4,4,5,5,4.5,5,5,6,5,5.25,6,5,5,5,5.25,5,4,5,19.0,18.0,25.0,8.0,30.0,5,5,6,4,5,5.0,5,5,4,4,4.5,0,1,0,0.3194
68,2,Reputational,1,5,6,1,6,4,25,1,4,0,1,1,0,1,5,4,4,4,4,4.2,6,5,6,5,6,5.6,3,3,3,4,2,3.0,4,5,4,5,4,4.4,4,4,5,3,4.0,4,5,4,4,4.25,5,4,5,5,4.75,5,7,5,22.0,28.0,21.0,9.0,20.0,5,4,5,4,5,4.6,6,7,6,5,6.0,0,1,0,-0.0841
